"","Gene_id","module","value"
"1","AT1G01030","blue",0.735647811924929
"2","AT1G01030","brown",-0.222059895347035
"3","AT1G01030","turquoise",-0.727301403903666
"4","AT1G01030","yellow",0.643565692954304
"5","AT1G01100","blue",-0.0950695002713743
"6","AT1G01100","brown",0.90845612287783
"7","AT1G01100","turquoise",0.138217506653571
"8","AT1G01100","yellow",0.329370871531344
"9","AT1G01120","blue",-0.528107068207429
"10","AT1G01120","brown",0.491601524110773
"11","AT1G01120","turquoise",0.63933097604518
"12","AT1G01120","yellow",-0.0365145330890857
"13","AT1G01140","blue",0.140981378965443
"14","AT1G01140","brown",0.371108135410446
"15","AT1G01140","turquoise",-0.0551353584675959
"16","AT1G01140","yellow",0.844180954188457
"17","AT1G01240","blue",0.515454557947204
"18","AT1G01240","brown",-0.44787325306701
"19","AT1G01240","turquoise",-0.597590575691497
"20","AT1G01240","yellow",0.166774993006614
"21","AT1G01250","blue",0.841207244721486
"22","AT1G01250","brown",0.134877438545765
"23","AT1G01250","turquoise",-0.782947854210007
"24","AT1G01250","yellow",0.707202653765542
"25","AT1G01300","blue",-0.8776062542669
"26","AT1G01300","brown",0.656643244256164
"27","AT1G01300","turquoise",0.920109568445686
"28","AT1G01300","yellow",-0.310168795688285
"29","AT1G01320","blue",0.626949129287247
"30","AT1G01320","brown",-0.370113515736925
"31","AT1G01320","turquoise",-0.614478074201251
"32","AT1G01320","yellow",0.0310422274976895
"33","AT1G01380","blue",0.813089867180933
"34","AT1G01380","brown",-0.352199389289906
"35","AT1G01380","turquoise",-0.775136364279499
"36","AT1G01380","yellow",0.399077717446664
"37","AT1G01420","blue",0.863750911374709
"38","AT1G01420","brown",0.101130344998889
"39","AT1G01420","turquoise",-0.780982666196198
"40","AT1G01420","yellow",0.667337131008106
"41","AT1G01470","blue",0.283064490384735
"42","AT1G01470","brown",0.321311809149248
"43","AT1G01470","turquoise",-0.182137929134378
"44","AT1G01470","yellow",0.860114907798719
"45","AT1G01490","blue",-0.611229622009726
"46","AT1G01490","brown",-0.00939736619198434
"47","AT1G01490","turquoise",0.686279153799488
"48","AT1G01490","yellow",-0.569625752899581
"49","AT1G01520","blue",0.908637189786159
"50","AT1G01520","brown",-0.449439669707128
"51","AT1G01520","turquoise",-0.863252364617607
"52","AT1G01520","yellow",0.367389822106089
"53","AT1G01540","blue",-0.970869052071096
"54","AT1G01540","brown",0.422231919529762
"55","AT1G01540","turquoise",0.992698755644862
"56","AT1G01540","yellow",-0.47753667070882
"57","AT1G01610","blue",0.256622684466007
"58","AT1G01610","brown",0.56847302475359
"59","AT1G01610","turquoise",-0.144383500724535
"60","AT1G01610","yellow",0.195540633986591
"61","AT1G01620","blue",-0.740918380217272
"62","AT1G01620","brown",0.749566891417886
"63","AT1G01620","turquoise",0.806552958286352
"64","AT1G01620","yellow",-0.370266320845165
"65","AT1G01650","blue",0.444268947102085
"66","AT1G01650","brown",0.130486190279014
"67","AT1G01650","turquoise",-0.388396194919083
"68","AT1G01650","yellow",0.970529025208988
"69","AT1G01720","blue",0.522427583661161
"70","AT1G01720","brown",0.419113800222815
"71","AT1G01720","turquoise",-0.43938343866301
"72","AT1G01720","yellow",0.801614487381296
"73","AT1G01950","blue",-0.94025442829552
"74","AT1G01950","brown",0.497852474655401
"75","AT1G01950","turquoise",0.97510151605596
"76","AT1G01950","yellow",-0.284267899786972
"77","AT1G02170","blue",-0.523103121491711
"78","AT1G02170","brown",0.893749298517264
"79","AT1G02170","turquoise",0.562921477419056
"80","AT1G02170","yellow",0.161435038683051
"81","AT1G02180","blue",0.851955549124503
"82","AT1G02180","brown",-0.0197419266422396
"83","AT1G02180","turquoise",-0.828539792417128
"84","AT1G02180","yellow",0.632590077564075
"85","AT1G02205","blue",0.746114946460558
"86","AT1G02205","brown",-0.156165395585759
"87","AT1G02205","turquoise",-0.763284169489082
"88","AT1G02205","yellow",0.55754113649721
"89","AT1G02280","blue",0.62956931577833
"90","AT1G02280","brown",-0.357801205789613
"91","AT1G02280","turquoise",-0.751918634546497
"92","AT1G02280","yellow",0.0963005564898838
"93","AT1G02300","blue",0.479870088413901
"94","AT1G02300","brown",-0.570233113826514
"95","AT1G02300","turquoise",-0.436842129891144
"96","AT1G02300","yellow",0.152958540110698
"97","AT1G02350","blue",-0.916649682919377
"98","AT1G02350","brown",0.174398659156039
"99","AT1G02350","turquoise",0.930733885782321
"100","AT1G02350","yellow",-0.631022215104085
"101","AT1G02380","blue",-0.950994595874706
"102","AT1G02380","brown",0.18679966252731
"103","AT1G02380","turquoise",0.958302414696949
"104","AT1G02380","yellow",-0.559884877944631
"105","AT1G02460","blue",0.796689808719814
"106","AT1G02460","brown",-0.0275369918456978
"107","AT1G02460","turquoise",-0.771361034419894
"108","AT1G02460","yellow",0.584415353694036
"109","AT1G02500","blue",-0.268726567445669
"110","AT1G02500","brown",0.942577160065697
"111","AT1G02500","turquoise",0.336497463875915
"112","AT1G02500","yellow",0.275605408118184
"113","AT1G02610","blue",-0.942108858104619
"114","AT1G02610","brown",0.247337002198237
"115","AT1G02610","turquoise",0.952935150299392
"116","AT1G02610","yellow",-0.541448980173347
"117","AT1G02640","blue",-0.953075520896934
"118","AT1G02640","brown",0.536101143936681
"119","AT1G02640","turquoise",0.946327538830698
"120","AT1G02640","yellow",-0.428184579541579
"121","AT1G02660","blue",-0.89566803133385
"122","AT1G02660","brown",0.347183767145428
"123","AT1G02660","turquoise",0.89384467170559
"124","AT1G02660","yellow",-0.274197979178268
"125","AT1G02705","blue",-0.825313566430908
"126","AT1G02705","brown",0.483571014759989
"127","AT1G02705","turquoise",0.908267589190971
"128","AT1G02705","yellow",-0.386530013037866
"129","AT1G02710","blue",-0.626410209956646
"130","AT1G02710","brown",0.339126703702825
"131","AT1G02710","turquoise",0.714362346337928
"132","AT1G02710","yellow",-0.125284521691568
"133","AT1G02780","blue",-0.366346771544684
"134","AT1G02780","brown",0.899442390524411
"135","AT1G02780","turquoise",0.401418427471912
"136","AT1G02780","yellow",0.124760868488662
"137","AT1G02840","blue",-0.40126186984606
"138","AT1G02840","brown",0.911941975344619
"139","AT1G02840","turquoise",0.50697583494478
"140","AT1G02840","yellow",0.220052847585805
"141","AT1G02880","blue",0.845245829615223
"142","AT1G02880","brown",-0.0828807371932382
"143","AT1G02880","turquoise",-0.845377608087959
"144","AT1G02880","yellow",0.758399696349306
"145","AT1G03080","blue",0.914460827598981
"146","AT1G03080","brown",-0.364371486170579
"147","AT1G03080","turquoise",-0.922771700866198
"148","AT1G03080","yellow",0.557172006153497
"149","AT1G03130","blue",-0.536218673837652
"150","AT1G03130","brown",0.859198550688981
"151","AT1G03130","turquoise",0.54735802419539
"152","AT1G03130","yellow",-0.114283181432179
"153","AT1G03200","blue",-0.530446409651622
"154","AT1G03200","brown",0.29464231654961
"155","AT1G03200","turquoise",0.48058678940497
"156","AT1G03200","yellow",-0.347334943513045
"157","AT1G03220","blue",-0.0575899651265663
"158","AT1G03220","brown",0.489197935663849
"159","AT1G03220","turquoise",-0.0104406123110192
"160","AT1G03220","yellow",-0.0540360702372243
"161","AT1G03400","blue",-0.830079343372008
"162","AT1G03400","brown",0.645728092367605
"163","AT1G03400","turquoise",0.843944240232445
"164","AT1G03400","yellow",-0.183801895687138
"165","AT1G03457","blue",-0.978620156090475
"166","AT1G03457","brown",0.317219332619624
"167","AT1G03457","turquoise",0.980234456723645
"168","AT1G03457","yellow",-0.589938097996072
"169","AT1G03600","blue",-0.257250561516919
"170","AT1G03600","brown",0.973245975965101
"171","AT1G03600","turquoise",0.340855136896523
"172","AT1G03600","yellow",0.260664633473078
"173","AT1G03680","blue",-0.307166469883649
"174","AT1G03680","brown",0.888125331076612
"175","AT1G03680","turquoise",0.424280910063154
"176","AT1G03680","yellow",0.118440549328419
"177","AT1G03850","blue",-0.498334837523676
"178","AT1G03850","brown",-0.194108388450285
"179","AT1G03850","turquoise",0.388447810241114
"180","AT1G03850","yellow",-0.723855589250315
"181","AT1G03870","blue",-0.966550539963889
"182","AT1G03870","brown",0.43850575937933
"183","AT1G03870","turquoise",0.987171707408585
"184","AT1G03870","yellow",-0.510579046380253
"185","AT1G03970","blue",-0.887956227873611
"186","AT1G03970","brown",0.183286143668466
"187","AT1G03970","turquoise",0.913423783851059
"188","AT1G03970","yellow",-0.451043426438549
"189","AT1G04013","blue",0.188699623266275
"190","AT1G04013","brown",-0.548802363849724
"191","AT1G04013","turquoise",-0.314694266896082
"192","AT1G04013","yellow",-0.30438084735584
"193","AT1G04040","blue",-0.936690926539548
"194","AT1G04040","brown",0.363683097746576
"195","AT1G04040","turquoise",0.960202516951921
"196","AT1G04040","yellow",-0.59175051691269
"197","AT1G04120","blue",0.860837929731772
"198","AT1G04120","brown",-0.356076035998431
"199","AT1G04120","turquoise",-0.874342410281933
"200","AT1G04120","yellow",0.596834086224493
"201","AT1G04197","blue",0.460247047541205
"202","AT1G04197","brown",-0.33423249454177
"203","AT1G04197","turquoise",-0.44180667357866
"204","AT1G04197","yellow",0.685239607564446
"205","AT1G04200","blue",-0.92879513787906
"206","AT1G04200","brown",0.355018374068349
"207","AT1G04200","turquoise",0.910111413927947
"208","AT1G04200","yellow",-0.33848510173551
"209","AT1G04220","blue",0.906161659844526
"210","AT1G04220","brown",-0.307797021939533
"211","AT1G04220","turquoise",-0.870910891653012
"212","AT1G04220","yellow",0.533682791909675
"213","AT1G04237","blue",-0.74915701435317
"214","AT1G04237","brown",0.310125334114829
"215","AT1G04237","turquoise",0.736752435010407
"216","AT1G04237","yellow",-0.535171351731818
"217","AT1G04240","blue",-0.64312427554948
"218","AT1G04240","brown",0.013724447427518
"219","AT1G04240","turquoise",0.700626007572695
"220","AT1G04240","yellow",-0.25086168596409
"221","AT1G04247","blue",0.890308623411091
"222","AT1G04247","brown",-0.41437159773908
"223","AT1G04247","turquoise",-0.846291902271277
"224","AT1G04247","yellow",0.427816758731331
"225","AT1G04250","blue",-0.432962237988344
"226","AT1G04250","brown",0.606733284830813
"227","AT1G04250","turquoise",0.541288296637733
"228","AT1G04250","yellow",0.00380034063609506
"229","AT1G04270","blue",0.381710707672102
"230","AT1G04270","brown",-0.205070111379685
"231","AT1G04270","turquoise",-0.514713417674348
"232","AT1G04270","yellow",0.0377597866143319
"233","AT1G04410","blue",-0.0236653934677129
"234","AT1G04410","brown",0.730642019696893
"235","AT1G04410","turquoise",0.0542825615729761
"236","AT1G04410","yellow",0.305313730275498
"237","AT1G04430","blue",-0.982920837842994
"238","AT1G04430","brown",0.335617873635907
"239","AT1G04430","turquoise",0.993333174346478
"240","AT1G04430","yellow",-0.487934887072475
"241","AT1G04433","blue",0.752613188701554
"242","AT1G04433","brown",-0.151481682955883
"243","AT1G04433","turquoise",-0.675226031608384
"244","AT1G04433","yellow",0.636248535943943
"245","AT1G04480","blue",-0.38423627009459
"246","AT1G04480","brown",0.910680953360287
"247","AT1G04480","turquoise",0.403171020467421
"248","AT1G04480","yellow",0.0934156785116684
"249","AT1G04520","blue",0.840552583359923
"250","AT1G04520","brown",-0.597422175151907
"251","AT1G04520","turquoise",-0.861900522354473
"252","AT1G04520","yellow",0.243007818372144
"253","AT1G04530","blue",0.809162905033507
"254","AT1G04530","brown",-0.762214619317441
"255","AT1G04530","turquoise",-0.845901154048822
"256","AT1G04530","yellow",0.166441884266545
"257","AT1G04630","blue",-0.630000027802258
"258","AT1G04630","brown",0.876842562470073
"259","AT1G04630","turquoise",0.698453622564022
"260","AT1G04630","yellow",-0.0706044728340041
"261","AT1G04680","blue",-0.917017632471419
"262","AT1G04680","brown",0.56430354655739
"263","AT1G04680","turquoise",0.897790059193498
"264","AT1G04680","yellow",-0.46557045592192
"265","AT1G04733","blue",0.419353503347434
"266","AT1G04733","brown",0.0152676914677734
"267","AT1G04733","turquoise",-0.323439426627016
"268","AT1G04733","yellow",0.120669266106164
"269","AT1G04770","blue",-0.744050126873577
"270","AT1G04770","brown",0.358787985075468
"271","AT1G04770","turquoise",0.796797625743582
"272","AT1G04770","yellow",-0.133707072394867
"273","AT1G04820","blue",-0.878077823620605
"274","AT1G04820","brown",0.583396952168827
"275","AT1G04820","turquoise",0.893178770362693
"276","AT1G04820","yellow",-0.327039088657579
"277","AT1G04977","blue",0.461324457355952
"278","AT1G04977","brown",0.549481890233985
"279","AT1G04977","turquoise",-0.383543785413375
"280","AT1G04977","yellow",0.612517799990311
"281","AT1G05000","blue",-0.866732832844734
"282","AT1G05000","brown",0.323683950568111
"283","AT1G05000","turquoise",0.920988652717054
"284","AT1G05000","yellow",-0.378063139949759
"285","AT1G05010","blue",-0.928488064339231
"286","AT1G05010","brown",0.402811872748165
"287","AT1G05010","turquoise",0.930736299551163
"288","AT1G05010","yellow",-0.293604345884749
"289","AT1G05100","blue",0.878814524961959
"290","AT1G05100","brown",-0.0680242960607281
"291","AT1G05100","turquoise",-0.835377725539533
"292","AT1G05100","yellow",0.789590084762597
"293","AT1G05170","blue",0.964025886081991
"294","AT1G05170","brown",-0.484109585867831
"295","AT1G05170","turquoise",-0.937248569476092
"296","AT1G05170","yellow",0.472481188045445
"297","AT1G05287","blue",0.041097717912705
"298","AT1G05287","brown",0.150841404958828
"299","AT1G05287","turquoise",-0.00369055056565322
"300","AT1G05287","yellow",0.621786211386177
"301","AT1G05523","blue",0.389684765412932
"302","AT1G05523","brown",0.426124629061476
"303","AT1G05523","turquoise",-0.365080697758192
"304","AT1G05523","yellow",0.550973299349397
"305","AT1G05560","blue",0.922620235045422
"306","AT1G05560","brown",-0.245101580197417
"307","AT1G05560","turquoise",-0.895596114633382
"308","AT1G05560","yellow",0.280729048895319
"309","AT1G05710","blue",-0.953540479033268
"310","AT1G05710","brown",0.393706551576093
"311","AT1G05710","turquoise",0.981050846995768
"312","AT1G05710","yellow",-0.414321903056227
"313","AT1G05805","blue",-0.89939570411509
"314","AT1G05805","brown",0.578747815912183
"315","AT1G05805","turquoise",0.933397816782369
"316","AT1G05805","yellow",-0.22005620399142
"317","AT1G05810","blue",-0.971608554618103
"318","AT1G05810","brown",0.443469128088566
"319","AT1G05810","turquoise",0.987158487564163
"320","AT1G05810","yellow",-0.444317671422735
"321","AT1G05850","blue",-0.948174696656313
"322","AT1G05850","brown",0.437779767796505
"323","AT1G05850","turquoise",0.975615611599369
"324","AT1G05850","yellow",-0.448415475078044
"325","AT1G05870","blue",0.860742972823669
"326","AT1G05870","brown",-0.238457024614618
"327","AT1G05870","turquoise",-0.806588599244434
"328","AT1G05870","yellow",0.487283238025411
"329","AT1G06000","blue",0.746446510597869
"330","AT1G06000","brown",0.18744619933841
"331","AT1G06000","turquoise",-0.706115868724939
"332","AT1G06000","yellow",0.813969239636351
"333","AT1G06002","blue",0.487329408242684
"334","AT1G06002","brown",0.244306869565113
"335","AT1G06002","turquoise",-0.50282778869358
"336","AT1G06002","yellow",0.530667555186596
"337","AT1G06083","blue",-0.355910207653593
"338","AT1G06083","brown",0.352427318272611
"339","AT1G06083","turquoise",0.333413474496758
"340","AT1G06083","yellow",-0.308113549347517
"341","AT1G06210","blue",0.922099690713598
"342","AT1G06210","brown",-0.360363541584362
"343","AT1G06210","turquoise",-0.937721171152188
"344","AT1G06210","yellow",0.621035799720141
"345","AT1G06257","blue",0.601468687876534
"346","AT1G06257","brown",-0.393030502559695
"347","AT1G06257","turquoise",-0.540951747036517
