"","Gene_id","colors","L_1","M_1","H_1","expr_total","Diff_H_L"
"1","AT3G55500","blue",3.98480867515379,3.42320346192477,0.211070970079941,5.83688460849569,-3.77373770507385
"2","AT3G44990","blue",4.67355287134935,4.94478035130023,1.84490521343714,6.92301820564805,-2.82864765791221
"3","AT1G20070","blue",3.89655397452421,3.76774839627109,1.09192330051731,5.94536825121501,-2.8046306740069
"4","AT2G39800","blue",5.75990284992048,5.7317866710658,3.0635077376345,7.8590115296515,-2.69639511228597
"5","AT1G07477","blue",3.36349551447814,3.29602203404485,1.2097063361737,5.46801794615211,-2.15378917830445
"6","AT2G03090","blue",2.21784386453895,2.22272986774458,0.188552106544591,4.36322600521016,-2.02929175799436
"7","AT5G39860","blue",2.82657370328632,3.33416686920294,0.897107912457381,5.2448110990249,-1.92946579082894
"8","AT5G28030","blue",3.56076195133349,3.70641235065624,1.83617499925844,5.79508463306299,-1.72458695207505
"9","AT3G26290","blue",4.00300565314002,4.43467838094771,2.28696371209109,6.3897875442865,-1.71604194104893
"10","AT5G64770","blue",5.74212940873982,6.22294326421211,4.1032217101597,8.16217116636838,-1.63890769858011
"11","AT3G17510","blue",4.75679625308936,4.89888403067159,3.30202140595487,7.01276373267342,-1.45477484713449
"12","AT1G05170","blue",3.66950548493074,4.10458363026456,2.40039215299696,6.09472034940975,-1.26911333193378
"13","AT1G75750","turquoise",6.10227331902703,5.58826873719386,7.4181823233259,9.16121210065497,1.31590900429887
"14","AT5G66200","turquoise",2.8697437901002,2.41792069167395,4.21357100011654,5.9553450203016,1.34382721001634
"15","AT2G48030","turquoise",1.33631599131365,1.05518273074077,2.71353513133278,4.46636778310763,1.37721914001913
"16","AT3G19150","turquoise",2.26618041110025,2.09679018001445,3.67573088935866,5.43389666078986,1.40955047825842
"17","AT3G24550","turquoise",2.930126516456,2.98163334917449,4.46052006591515,6.21446808862128,1.53039354945915
"18","AT4G26690","turquoise",3.85502928390803,3.88094504985728,5.52132090806133,7.23176445906891,1.66629162415331
"19","AT4G15800","turquoise",2.9895884387935,2.98883353186283,4.65726440954623,6.36363136981463,1.66767597075272
"20","AT3G17390","turquoise",5.64225275586305,5.8577688552728,7.32274158297394,9.0578370012566,1.68048882711089
